duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,root_shell,label
52,1,4,3,1265,2886,1,32,24,86,2,0,2
496,0,0,2,1479,1183,0,90,78,51,4,0,4
443,2,4,2,3784,502,0,79,33,34,4,1,3
612,0,4,1,537,1552,0,5,81,55,2,0,0
254,1,1,3,2570,3906,1,23,19,74,1,1,1
390,2,1,2,3688,1249,0,4,37,23,4,1,1
817,2,4,3,3543,306,1,25,6,99,2,1,2
453,0,0,3,3761,2159,1,84,13,37,1,1,1
159,0,2,2,2567,3569,1,47,9,80,2,1,1
561,0,4,2,4800,212,1,35,28,2,2,0,0
1,2,4,3,3493,317,1,93,89,18,1,0,4
771,0,2,1,2518,3355,0,27,36,87,1,1,1
550,2,2,0,4252,2857,1,24,53,72,0,1,2
563,1,4,1,1417,3408,1,8,65,30,3,0,0
66,0,1,1,3990,1631,1,27,75,46,2,0,4
839,2,3,1,2885,2702,1,8,31,7,4,0,1
585,1,2,1,2791,1617,0,2,97,38,1,0,2
390,0,1,1,4370,3512,0,0,76,26,1,1,2
156,1,2,2,3098,1816,0,30,28,42,1,1,0
372,0,2,1,4392,1234,0,71,38,2,2,0,4
947,2,0,3,4652,4210,1,99,14,86,4,1,4
589,2,3,0,4522,1706,0,0,25,55,0,1,1
682,0,1,3,1438,3999,1,40,0,87,0,1,3
646,1,4,2,1521,1995,1,83,53,78,3,0,4
185,2,2,0,3118,4993,1,44,27,69,4,0,3
139,2,0,0,4897,2405,1,10,90,48,3,0,1
10,1,4,0,1959,2701,0,77,20,82,3,1,1
305,1,1,2,2622,852,0,64,51,21,4,0,3
720,1,4,1,4028,4446,0,50,67,90,0,0,1
228,0,4,1,1524,2060,0,21,58,87,1,1,4
127,1,1,1,1373,3581,0,12,93,28,1,1,4
8,1,4,0,328,2848,0,6,50,18,0,1,0
482,1,0,3,2450,139,1,73,78,23,2,0,0
6,1,1,2,474,1500,0,69,52,17,3,0,3
206,2,2,0,3532,125,0,30,17,78,4,0,2
693,1,4,2,4677,2816,1,50,44,46,1,0,4
552,1,3,2,4053,2407,1,40,97,45,3,1,4
491,0,2,1,1616,3844,1,64,18,68,1,0,4
127,1,3,2,3998,2235,1,8,67,69,4,0,3
34,1,2,1,1811,4992,1,36,46,1,0,0,4
308,0,4,1,3707,2618,1,48,83,43,1,0,3
656,2,0,1,4111,2438,0,29,98,20,0,0,1
956,2,1,2,768,1521,0,72,88,25,0,1,2
532,2,2,1,3565,4675,1,90,40,7,0,1,3
806,1,4,2,460,927,0,71,64,17,0,0,3
729,2,4,0,219,1844,1,93,10,27,3,0,1
278,1,4,3,1476,610,1,89,50,7,0,0,0
98,1,4,0,3061,3327,0,35,63,4,4,1,1
473,1,2,1,1562,2375,0,4,36,67,3,0,3
729,0,2,2,3834,3769,1,78,74,77,3,0,4
376,0,0,0,2972,1194,1,27,32,46,1,0,4
260,1,1,2,2547,284,0,13,54,71,1,0,2
375,1,1,3,778,1402,0,84,43,40,1,1,0
70,0,1,3,4323,3465,1,79,38,67,1,0,1
382,1,2,0,2239,2099,1,40,28,16,2,1,4
802,1,2,1,4414,3346,0,52,30,84,4,1,1
951,1,1,2,4614,3669,0,18,6,3,3,1,4
213,1,0,0,2479,2760,1,4,3,34,4,0,3
645,1,3,1,4777,4150,0,66,21,46,2,0,4
246,2,2,3,2293,4334,0,14,99,56,2,0,4
336,0,3,1,1647,3437,1,69,29,74,1,1,0
544,2,3,0,3125,4006,0,10,13,29,3,0,4
434,0,0,1,825,1683,0,95,36,17,0,1,2
985,2,1,1,1322,2632,0,76,79,98,3,0,4
436,1,1,1,3044,4382,1,19,44,87,3,0,3
654,0,4,2,4456,2540,0,76,81,19,2,0,4
37,2,0,2,1997,4419,1,10,40,35,0,0,4
539,1,0,3,3206,4032,1,10,8,70,4,0,0
517,0,1,1,249,4049,1,28,5,63,0,1,4
929,1,0,0,1726,985,0,26,77,13,0,0,4
105,2,4,1,996,2225,0,30,94,4,0,1,0
153,1,3,3,3360,1428,1,50,77,29,0,1,2
514,1,4,1,3317,3481,1,30,75,67,0,1,4
311,0,2,0,2689,4612,1,19,92,76,1,1,0
379,1,2,3,1221,1161,0,94,75,63,3,1,1
716,1,2,1,759,619,1,54,0,33,4,1,0
780,2,4,1,4551,2128,0,28,79,71,4,0,0
513,0,4,3,244,2940,0,83,17,36,2,0,0
413,2,2,3,4002,3874,1,87,27,75,4,0,1
388,2,4,1,2991,1095,0,2,1,37,1,0,0
948,2,2,0,2075,3146,0,72,50,97,0,0,0
575,0,3,2,3352,483,0,36,76,83,1,0,2
550,2,3,2,3791,4954,0,16,70,9,1,1,3
999,2,2,2,4619,2539,0,29,35,74,0,0,4
469,0,2,2,4982,4669,1,16,37,40,0,1,3
112,2,3,1,861,663,0,28,42,58,4,1,3
752,1,1,3,1263,4171,0,25,15,43,0,0,0
238,2,0,0,2210,403,0,77,99,30,3,0,2
134,0,2,2,2059,4194,0,96,67,37,4,0,0
138,1,2,0,3546,3673,1,73,57,76,1,0,1
759,0,0,2,1795,2871,0,27,48,53,4,0,3
784,1,0,2,828,833,1,60,3,23,0,0,1
225,1,3,3,4946,3425,0,19,4,81,0,1,4
373,2,0,2,3833,483,0,76,85,53,1,0,0
520,0,4,2,3920,1495,1,92,91,29,2,0,0
93,1,3,2,3866,4593,1,39,39,17,4,0,1
113,2,3,3,3116,2337,1,55,79,2,1,1,4
982,2,1,3,1721,3639,0,12,65,48,1,0,3
299,1,1,0,3201,3788,0,24,22,89,2,0,0
708,2,1,3,1743,4748,0,56,39,17,3,0,0
127,0,1,3,15,1933,0,83,4,89,2,0,1
56,0,3,2,362,4840,1,73,20,22,4,0,3
831,1,1,0,3480,3368,0,1,89,25,0,1,2
161,2,4,1,2453,3146,1,67,72,30,2,0,4
5,1,3,1,4492,10,1,10,99,47,1,1,2
101,0,4,0,3855,4136,1,78,63,43,2,0,4
973,0,3,3,4200,2898,1,44,64,92,2,0,2
886,2,3,0,3204,3332,0,34,54,12,1,1,4
405,1,1,0,4935,888,1,26,36,98,3,0,2
416,0,0,3,133,2780,1,11,21,83,2,0,0
881,2,4,1,2016,1191,0,48,70,37,4,0,4
253,1,4,3,28,2462,0,96,46,65,2,1,3
721,0,1,2,4050,53,1,58,11,91,1,0,4
375,0,1,2,3886,1971,0,82,21,30,0,0,4
681,1,4,1,4837,3674,0,61,9,5,2,0,4
367,0,2,1,4026,3985,1,7,26,40,0,1,1
122,1,2,1,2477,1035,1,8,7,34,0,0,4
171,2,1,1,1641,1461,0,77,16,72,2,0,3
604,1,2,0,3485,1994,0,39,75,73,1,1,0
567,1,0,2,4806,1812,1,22,94,98,1,1,3
654,0,2,2,1119,4832,1,96,79,77,1,0,1
3,0,3,2,4712,4465,1,53,86,35,1,0,4
967,2,3,2,2405,2937,0,35,2,69,0,1,2
23,1,0,0,245,2654,0,38,32,41,4,0,3
681,0,1,1,1663,4629,0,56,75,68,0,1,4
708,1,3,0,534,2508,1,96,11,64,2,0,1
670,2,4,1,282,879,1,56,65,89,3,1,4
102,2,1,2,3712,4648,0,91,37,73,1,1,3
625,2,3,1,1159,1241,1,94,15,12,4,0,2
111,1,2,3,53,1603,1,58,77,84,0,1,1
434,0,3,3,3677,4701,0,94,98,2,1,0,1
244,0,0,0,1233,4322,0,76,73,84,0,0,3
586,0,1,3,4959,2543,0,14,90,25,1,0,1
766,1,4,1,2639,3049,0,64,92,74,4,0,1
518,0,3,2,485,4756,1,66,65,76,4,0,1
820,2,0,2,932,172,0,29,31,63,4,0,3
104,2,3,3,4161,3915,0,49,42,30,2,1,4
501,0,0,1,1546,226,1,65,87,82,4,1,1
550,0,1,0,3408,1494,0,38,25,18,1,1,2
395,0,1,3,843,4885,1,94,39,73,1,1,0
865,2,4,3,2079,4375,0,53,61,82,4,0,4
769,0,4,1,1767,1354,0,92,48,22,2,1,1
302,1,3,2,4075,1556,0,76,29,33,0,1,2
207,0,1,0,2270,4198,1,94,29,48,0,1,2
698,0,1,2,1032,986,1,26,71,84,2,1,0
734,1,2,1,2463,3114,1,68,79,95,1,1,2
49,1,1,2,1513,4722,1,22,15,31,0,0,3
341,2,0,3,2142,4912,1,2,58,76,4,1,4
733,0,3,1,1458,4325,0,42,57,89,4,1,0
464,0,1,2,4978,2582,0,77,89,54,2,1,0
252,2,2,3,773,1012,1,61,25,15,1,1,3
118,1,3,0,1516,1685,0,50,55,99,3,0,2
163,2,1,2,3977,2194,1,77,81,67,4,1,1
737,1,1,2,3724,975,0,44,1,71,2,1,2
348,0,1,0,3219,294,0,39,77,98,2,0,2
480,0,2,3,2684,3812,0,15,65,57,2,0,4
876,1,2,1,3190,418,0,95,18,64,3,1,2
15,1,3,0,4879,2476,0,3,79,52,2,0,1
737,1,4,3,2814,3500,0,53,33,8,0,0,0
317,1,2,1,537,2743,1,79,79,12,2,0,3
828,0,0,3,124,123,1,26,15,67,3,1,1
63,1,3,0,2547,3080,0,65,84,48,0,0,2
976,1,0,3,828,2014,0,94,86,78,0,1,0
150,0,3,1,3018,1161,0,7,31,56,2,0,3
10,0,3,1,3018,3288,0,37,10,85,3,1,1
952,0,1,1,4546,2871,1,18,82,24,0,0,1
314,1,3,3,3027,1958,0,16,88,39,3,0,3
165,1,0,0,2135,4076,1,63,92,48,0,1,2
370,2,1,0,2602,2687,0,71,69,61,2,1,0
405,2,3,2,2089,4878,1,93,34,2,3,0,4
959,2,2,0,4669,4230,0,44,91,51,0,0,3
392,1,0,0,2626,582,0,70,0,82,4,0,1
99,1,1,3,1610,3791,0,94,47,57,1,0,1
102,0,3,1,1386,2975,0,88,86,55,2,0,2
390,2,4,2,4424,3028,0,92,0,76,0,0,2
152,1,1,3,1502,919,0,49,91,9,3,0,0
776,0,0,1,1829,612,0,13,33,60,1,0,2
820,0,0,3,3689,2564,0,95,61,60,2,1,1
503,2,0,0,2606,4382,1,45,97,59,2,1,4
434,0,2,1,2851,2999,1,8,80,2,0,1,1
422,2,4,1,4087,2836,1,95,86,96,3,1,1
991,1,4,0,3204,2826,0,92,63,7,1,0,0
328,0,2,2,4885,4447,1,77,65,75,3,0,4
716,0,1,1,4273,1802,1,80,64,75,3,1,0
218,0,3,0,1319,1785,1,12,31,48,2,1,0
273,0,4,0,1762,3803,0,80,32,38,0,1,2
325,2,1,1,1742,4961,0,83,25,56,1,0,4
458,1,1,3,296,4550,1,73,49,19,4,0,1
811,0,1,2,2824,1432,1,46,21,37,3,0,3
549,2,3,0,1859,4965,1,55,23,6,1,1,1
377,0,0,2,1904,4809,0,58,22,44,4,1,2
991,0,2,0,3302,1147,0,28,8,75,0,1,1
604,2,3,3,3052,2738,1,83,34,20,1,1,3
373,2,2,1,4851,3426,1,6,15,23,1,1,1
562,2,2,1,20,4349,0,24,32,77,1,0,1
228,2,0,2,2342,194,0,43,6,60,3,0,3
545,1,4,3,1365,761,0,23,25,23,1,0,2
335,2,1,0,3738,1554,0,51,92,38,4,1,3
494,1,1,3,1843,3736,1,4,25,91,4,0,3
191,1,0,3,4482,3756,0,78,31,64,4,1,0
819,0,2,0,4988,2265,1,63,54,18,4,0,2
338,2,3,0,262,3865,1,17,47,35,4,0,0
523,1,4,2,3515,125,0,33,81,80,1,0,4
174,0,3,3,3063,4400,1,16,97,84,0,1,2
844,1,2,2,2074,4708,0,76,85,20,0,1,4
62,0,4,2,1444,2960,0,77,88,58,1,1,3
846,0,4,0,410,3282,1,86,50,32,1,0,1
689,1,1,2,3979,4223,0,10,87,74,1,0,0
468,1,2,0,2303,731,1,36,56,68,3,1,3
645,2,0,1,346,3638,1,8,1,94,0,1,4
275,0,4,1,4272,3892,0,81,89,76,4,1,2
773,1,0,1,519,4555,0,52,88,81,4,0,4
170,1,4,1,1487,3098,0,29,93,59,0,1,2
928,1,2,1,2257,4363,0,16,56,14,0,1,0
411,1,2,3,753,4000,1,60,45,7,1,1,4
709,0,0,3,476,1737,1,41,5,3,1,1,4
456,0,3,3,3439,1557,0,74,77,12,1,0,3
725,2,1,1,1138,3415,0,39,9,88,2,1,0
702,1,0,3,1409,4996,0,60,46,77,2,0,3
948,1,1,3,4005,4945,1,44,52,70,3,0,4
186,0,0,0,3649,1818,0,54,32,29,1,0,4
391,2,1,2,876,2737,0,37,62,95,2,1,1
534,0,4,0,1412,4876,1,2,53,97,0,0,3
929,0,2,1,4492,735,1,86,61,54,0,0,2
112,0,4,1,2825,597,0,12,90,89,3,0,1
845,1,3,0,2296,2927,0,76,31,52,2,1,3
9,2,4,0,4659,4787,0,44,44,44,2,1,4
170,2,2,0,1770,1451,1,54,82,20,0,0,1
773,1,2,3,190,2194,0,71,86,5,1,1,0
735,1,1,1,4877,4740,1,68,22,28,1,0,2
621,2,4,1,4796,86,1,31,11,6,3,0,1
926,2,0,3,3927,3329,0,62,49,74,1,0,4
459,0,3,0,1764,704,1,42,55,71,3,1,3
246,0,4,3,2922,2422,0,28,19,11,1,0,4
221,1,1,0,4650,4043,1,48,33,78,4,0,1
315,1,3,3,182,4790,0,93,46,54,3,1,3
301,0,2,0,711,1284,0,45,1,12,0,1,0
622,2,0,0,4503,672,1,47,46,12,1,0,2
394,1,4,2,4513,2534,1,73,40,85,0,0,0
890,2,4,2,1474,3817,1,6,37,24,3,1,3
557,0,4,1,3327,3009,0,72,65,53,4,0,2
858,2,1,2,809,2646,1,26,8,2,0,1,0
330,2,1,2,977,816,1,18,6,38,4,1,4
877,0,3,3,2410,4042,1,19,80,11,0,1,2
234,0,2,3,1234,3693,1,78,42,21,4,1,2
426,1,2,2,4988,3673,1,68,26,5,2,0,2
93,0,0,3,4066,254,0,16,15,30,2,0,3
192,0,3,2,4559,848,1,96,5,56,2,1,3
541,2,1,0,1539,2910,1,63,60,92,3,0,3
37,1,1,3,2150,775,1,90,70,6,3,1,0
339,1,1,0,3028,390,1,2,76,92,2,0,1
908,2,1,2,4150,882,1,36,53,13,3,0,1
807,0,2,2,2058,2024,1,44,30,33,1,1,4
779,0,0,3,365,2040,1,40,35,55,1,0,0
622,1,4,1,4460,671,1,18,40,9,0,1,1
455,0,3,3,2860,4654,0,8,75,26,0,1,4
64,2,2,3,1695,3187,0,46,40,74,0,0,0
306,1,3,3,4927,4019,1,98,61,80,0,1,3
753,0,4,1,3446,3793,1,11,56,79,0,0,4
707,2,1,3,2092,989,0,13,56,84,0,0,0
728,1,1,1,448,3289,0,18,10,97,1,1,3
292,2,0,0,267,4171,1,31,97,67,0,0,2
733,1,3,0,935,1303,0,18,72,69,4,0,1
515,2,3,2,2781,1744,0,4,78,72,0,1,3
944,0,1,3,4991,643,0,38,7,15,4,1,4
67,1,1,1,4163,4515,1,65,45,14,0,0,0
619,1,0,2,1103,1666,0,58,53,49,2,1,1
809,0,3,0,1904,3656,1,70,24,16,3,1,3
73,1,1,2,4448,4289,0,72,34,41,2,1,1
906,1,4,3,2309,3006,0,32,31,76,2,1,0
78,0,2,0,4126,2398,0,1,5,81,3,0,2
545,0,0,1,2409,1473,1,4,48,5,3,1,4
754,1,1,2,1901,3946,1,94,58,39,0,1,4
253,1,2,1,389,4369,0,46,47,71,3,0,4
875,2,0,2,4844,3687,1,40,49,96,2,1,2
831,1,3,3,1247,2070,0,20,95,4,4,1,0
388,1,0,3,1331,1764,0,57,70,58,4,0,4
943,2,0,3,994,1774,1,76,65,31,2,1,0
425,2,2,1,3133,1292,0,41,32,53,4,0,0
544,1,1,3,4108,3020,0,16,23,1,0,1,0
937,1,2,2,2513,1561,1,52,94,28,2,0,0
443,0,2,2,2407,550,1,42,63,18,4,0,3
79,2,4,0,1015,3929,0,76,34,70,2,1,0
703,1,4,2,4676,1791,0,16,88,85,4,0,0
824,2,0,0,827,3228,0,61,53,51,4,0,3
587,0,0,2,716,1803,0,36,65,87,1,1,4
682,1,1,2,1469,3279,1,98,15,31,3,0,4
723,0,1,0,4508,2082,0,79,11,69,0,1,2
957,2,4,2,2959,1911,1,38,44,91,3,0,0
239,2,4,0,4549,3374,0,27,79,83,2,1,3
723,2,2,2,3740,4847,1,82,26,83,1,1,2
83,2,1,1,792,4971,0,0,78,31,4,0,2
912,0,3,2,2205,1167,1,69,6,60,4,1,0
766,1,0,3,794,1630,0,69,59,24,0,0,3
934,1,2,2,4881,555,0,50,32,57,4,1,3
444,2,4,2,3741,4303,1,69,41,94,3,1,3
227,2,3,2,1568,3010,0,95,9,53,4,1,2
176,0,3,1,3190,1763,0,0,80,94,2,0,4
988,1,0,3,417,804,0,36,71,88,0,1,4
944,2,1,3,577,1807,1,38,48,12,4,0,1
31,1,2,2,4511,2151,1,87,45,2,2,0,2
85,0,0,2,2537,2478,1,1,78,44,3,1,4
459,0,4,3,4618,1430,0,67,37,81,2,1,2
78,0,1,3,4058,877,0,13,39,48,2,0,3
51,2,1,3,4680,3586,0,76,19,0,1,1,3
443,2,4,1,3359,4944,0,78,54,86,2,1,0
39,0,0,3,3655,2844,1,78,32,20,4,0,2
653,1,0,0,4313,3900,0,98,49,22,3,1,3
